Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max
181017009,1.7,,He,post-PDC,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-15137.3469155256
181017010,1.7,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,15996.3600451663
181017011,2.1,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23348.202602128
181017012,2.1,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23289.5284054073
181017013,2.1,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23244.0681429526
181017014,2.1,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,23252.8753795833
181017015,2.1,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-22957.8030197742
181017016,2.1,,V,Vacuum,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,195.5881944542
181017017,2.1,,V,Vacuum,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,199.7791422299
181017018,2.1,,V,Vacuum,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,214.3117846384
181017019,2.15,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22016.2463939907
181017020,2.15,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22371.6670767069
181017021,2.15,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22957.999128966
181017022,2.15,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22703.6776015999
181017023,1.92,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22836.691906823
181017024,1.92,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22772.2220317501
181017025,1.92,,D/He,Deuterium,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,22129.247085521
181017026,2.1,,D/He,High power shot - fault,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-417.415816621
181017027,2.1,,D/He,High power shot - fault,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,229.1338080175
181017028,2.1,,D/He,High power shot,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,25518.1627444038
181018008,2.1,,D/He,He-doped D,XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,16425.4225762566
181018009,2.05,,D/He,"He-doped D, weird laser pulse",XDAF,1.25,1650,2400,2100,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.2969848481,0.2523885893,0.3322743595,,-251.5055225387
