Shot,TS_TRIG,Energy,Fuel,Notes,Mount_Positions,Jack_Height,V_osc,V_amps12,V_amp3,POLY_2_2,POLY_2_3,POLY_3_1,POLY_3_2,POLY_3_3,POLY_3_4,POLY_3_5,POLY_4_1,POLY_4_2,POLY_4_3,POLY_4_4,POLY_4_5,POLY_5_1,POLY_5_2,POLY_5_3,POLY_5_4,POLY_5_5,radius_poly_2,radius_poly_3,radius_poly_4,radius_poly_5,i_tor_max,FIRE_TIME,Energy_Bayes,Pulse_Time
181010024,2.0,,D/He,D/He shot.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,,,,
181010025,2.0,,D/He,D/He shot.,XDGF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.34800323274360545,0.3322743595283873,,22918.46071482016,,,
181010026,2.0,,D/He,D/He shot.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,22931.13295446487,,,
181010027,2.0,,D/He,D/He shot.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,,,,
181010028,2.0,,D/He,D/He shot.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-20292.019590568765,,,
181010029,2.0,,D/He,D/He shot.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,,,,
181011007,2.0,,He,plasma.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,13905.767769611271,,,
181011008,2.0,,D/He,first deuterium shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-17148.88511683666,,,
181011009,2.0,,D/He,deuterium shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,25385.579855840566,,,
181011010,2.0,,D/He,deuterium shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22448.333728386395,,,
181011011,2.0,,V,deuterium shot - faulted before laser fired.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-14104.192261614144,,,
181011012,2.0,,D/He,deuterium shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22393.224145009808,,,
181011013,2.0,,V,high power vacuum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-226.53869537972759,,,
181011014,2.0,,V,high power vacuum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,221.7609623631611,,,
181011015,2.0,,V,high power vacuum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-381.27371223451087,,,
181011016,2.0,,D/He,deuterium shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-23015.638218028893,,,
181011017,2.0,,D/He,deuterium shot (laser temp. 16.9°C).,XDAF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22567.520549536493,,,
181011018,2.0,,D/He,repeat.,XDAF,1.25,1650.0,2400.0,2100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,25201.953038508203,,,
181011019,2.0,,D/He,repeat.,XDAF,1.25,1650.0,2300.0,1900.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,27056.867239717816,,,
181016009,2.0,,D/He,first D/He,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,15729.404641715919,,,
181016010,2.1,,D/He,new trig. time,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,16306.373167611837,,,
181016011,2.15,,D/He,new trig. time,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,23154.21026560763,,,
181016012,2.24,,D/He,new trig. time,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22842.098026836924,,,
181016013,2.5,,D/He,new trig. time,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,23036.881795426158,,,
181016014,2.5,,V,HPV shot,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-164.09269309221418,,,
181016015,1.6403,,D/He,Fire during V_INJ_A ~ minimum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22852.46496056937,,,
181016016,1.6403,,D/He,repeat,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-22456.192008086524,,,
181016017,1.6403,,V,repeat - laser not triggered!,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,22251.419546069723,,,
181016018,1.6403,,D/He,repeat,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,22171.55611670185,,,
181016019,1.643,,D/He,Fire during V_INJ_A ~ 0.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,22266.54964560136,,,
181016020,1.643,,V,"Fire during V_INJ_A ~ 0, laser not triggered!",XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,25036.670553306947,,,
181016021,1.643,,D/He,Fire during V_INJ_A ~ 0.,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,25844.764835531747,,,
181016022,1.6469999999999998,,D/He,Fire during V_INJ_A ~ maximum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-25672.37289487536,,,
181016023,1.6469999999999998,,D/He,Fire during V_INJ_A ~ maximum,XDAF,1.25,1650.0,2300.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.29698484809835,0.2523885892824793,0.3322743595283873,,-25224.672948800067,,,
